symbol,current_price,rf_prediction,rf_signal,rf_confidence,price_change_24h,volatility,recommendation,risk_level,train_score,test_score,top_features,data_points,class_distribution,status
BSVUSDT,24.0,0,HOLD,0.6479431142160275,-1.193906957595715,1.0108894850966654,持有,LOW,0.9121683440073193,0.7408759124087592,"['ma_50', 'atr', 'bb_upper']",1367,"{-1: 405, 0: 750, 1: 212}",SUCCESS
BOMEUSDT,0.001614,-1,SELL,0.7029250622267447,-2.003642987249547,1.8000789008671594,強烈賣出,HIGH,0.9460201280878316,0.8065693430656934,"['ma_50', 'bb_upper', 'bb_lower']",1367,"{-1: 517, 0: 365, 1: 485}",SUCCESS
BUSDT,0.40323,-1,SELL,0.5297028836228647,3.1674555456057316,1.708869784604987,賣出,HIGH,0.9065934065934066,0.8142076502732241,"['ma_50', 'ma_10', 'ma_5']",911,"{-1: 232, 0: 456, 1: 223}",SUCCESS
BSWUSDT,0.01153,1,BUY,0.9081837606837607,-29.8661800486618,11.005513199608185,強烈買入,MEDIUM,0.9652333028362305,0.8357664233576643,"['ma_50', 'bb_lower', 'macd_signal']",1367,"{-1: 560, 0: 465, 1: 342}",SUCCESS
BTCUSDT,109138.0,0,HOLD,0.9505413890956248,0.500208113095652,0.33779053078996935,持有,LOW,0.9405306495882891,0.916058394160584,"['ma_10', 'ma_5', 'ma_20']",1367,"{-1: 60, 0: 1199, 1: 108}",SUCCESS
C98USDT,0.044,-1,SELL,0.8817956557411054,-1.7857142857142905,1.2798099571846815,強烈賣出,HIGH,0.9277218664226898,0.7664233576642335,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 511, 0: 445, 1: 411}",SUCCESS
CAKEUSDT,2.3044,0,HOLD,0.5127039370876979,-1.7229614466052725,1.3412341515083341,持有,LOW,0.8380603842634949,0.6897810218978102,"['ma_50', 'bb_lower', 'ma_10']",1367,"{-1: 350, 0: 638, 1: 379}",SUCCESS
CATIUSDT,0.0826,-1,SELL,0.7796944133582703,-0.12091898428051873,1.2556524383772032,強烈賣出,HIGH,0.9322964318389753,0.7627737226277372,"['ma_50', 'ma_10', 'bb_lower']",1367,"{-1: 459, 0: 497, 1: 411}",SUCCESS
CELOUSDT,0.28,-1,SELL,0.8840135144584476,0.7194244604316552,0.950222814462296,強烈賣出,HIGH,0.9441903019213175,0.8175182481751825,"['ma_50', 'bb_middle', 'ma_20']",1367,"{-1: 454, 0: 575, 1: 338}",SUCCESS
CELRUSDT,0.00766,-1,SELL,0.6439110280623122,-0.13037809647978607,1.0113863664222302,強烈賣出,HIGH,0.9487648673376029,0.7846715328467153,"['ma_50', 'bb_middle', 'ma_20']",1367,"{-1: 451, 0: 524, 1: 392}",SUCCESS
CETUSUSDT,0.09327,-1,SELL,0.8492009844172392,0.3334767641996608,1.4027385026452899,強烈賣出,HIGH,0.9478499542543458,0.7737226277372263,"['ma_20', 'bb_middle', 'bb_upper']",1367,"{-1: 591, 0: 449, 1: 327}",SUCCESS
CFXUSDT,0.07566,-1,SELL,0.600249181943481,-2.1089403545089827,1.195846917359561,強烈賣出,HIGH,0.8947849954254345,0.7335766423357665,"['ma_50', 'ma_20', 'ma_10']",1367,"{-1: 438, 0: 557, 1: 372}",SUCCESS
CGPTUSDT,0.09229,-1,SELL,0.7344024146616571,-3.0974380512389836,2.0477021217755045,強烈賣出,HIGH,0.9341262580054894,0.8065693430656934,"['ma_50', 'ma_5', 'bb_lower']",1367,"{-1: 557, 0: 411, 1: 399}",SUCCESS
CHESSUSDT,0.09489,-1,SELL,0.9566252668376461,15.29769137302552,5.356937362279924,強烈賣出,HIGH,0.9524245196706312,0.8102189781021898,"['ma_50', 'ma_20', 'bb_middle']",1367,"{-1: 420, 0: 420, 1: 527}",SUCCESS
CHILLGUYUSDT,0.05504,-1,SELL,0.852260797633853,-3.893836214422914,3.4120687575127846,強烈賣出,HIGH,0.9112534309240622,0.791970802919708,"['ma_50', 'ma_20', 'bb_upper']",1367,"{-1: 610, 0: 264, 1: 493}",SUCCESS
CKBUSDT,0.003519,-1,SELL,0.589015874813047,-0.8173618940248012,0.8470337539405981,賣出,HIGH,0.8993595608417201,0.791970802919708,"['ma_50', 'ma_20', 'bb_upper']",1367,"{-1: 455, 0: 583, 1: 329}",SUCCESS
CHRUSDT,0.0824,0,HOLD,0.41460941066771995,-0.4830917874396106,0.9182060380121939,持有,LOW,0.94967978042086,0.8065693430656934,"['ma_50', 'macd_signal', 'ma_10']",1367,"{-1: 459, 0: 518, 1: 390}",SUCCESS
COOKIEUSDT,0.1699,-1,SELL,0.778804055836116,-2.131336405529959,2.0279859794873407,強烈賣出,HIGH,0.9066788655077768,0.7518248175182481,"['bb_middle', 'ma_50', 'ma_20']",1367,"{-1: 625, 0: 340, 1: 402}",SUCCESS
COMPUSDT,43.02,-1,SELL,0.4808111223239115,-0.6925207756232622,1.3061081964706596,賣出,HIGH,0.9112534309240622,0.7846715328467153,"['ma_50', 'macd_signal', 'bb_lower']",1367,"{-1: 392, 0: 650, 1: 325}",SUCCESS
CHZUSDT,0.03609,-1,SELL,0.459700800413445,-1.4472965592572438,0.7616567853110503,賣出,HIGH,0.8709972552607502,0.7883211678832117,"['bb_upper', 'bb_middle', 'ma_20']",1367,"{-1: 394, 0: 701, 1: 272}",SUCCESS
COTIUSDT,0.05142,-1,SELL,0.47793654659421486,-1.6826003824091755,0.9231196475840315,賣出,HIGH,0.9432753888380604,0.7773722627737226,"['ma_50', 'bb_upper', 'bb_middle']",1367,"{-1: 440, 0: 567, 1: 360}",SUCCESS
